objectid,filename,vimeoid,title,creator,date,century,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
smell001,1metcensingangels.jpg,,Censing Angels,,1170-1180,12th c.,"A plaque originally decorating an altar cross; depicts angels censing something below, likely another panel showing Christ",angels; censers,France,,,"The Cloisters, The Metropolitan Museum of Art; https://www.metmuseum.org/art/collection/search/474263",accession number 2001.634,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
smell002,2taymouthavemaria1crop.jpg,,Taymouth Ave Maria 1,,1325-1350,14th c. ,"The first image in a set of two bas-de-page illustrations from the Taymouth Hours depicting ""The Monk who Only Knew the Ave Maria."" Here, the monk learns the Ave Maria from Mary.",Mary; Ave Maria; Prayer,England,,,"The British Library Yates Thompson MS 13, fol. 161r; https://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=8148&CollID=58&NStart=13",Yates Thompson MS 13,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
smell003,3taymouthavemaria2crop.jpg,,Taymouth Ave Maria 2,,1325-1350,14th c. ,"The second image in the Taymouth Hours depicting ""The Monk who Only Knew the Ave Maria."" The monk has died. The other monks find a lily growing out of his mouth, signifying the monk's connection with Mary as well as the sweet scent of his prayers.",Mary; Ave Maria; Prayer; Lily,England,,,"The British Library Yates Thompson MS 13, fol. 161v; https://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=8148&CollID=58&NStart=13",Yates Thompson MS 13,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
smell004,4panther.jpg,,Panther,,1236-1250,13th c. ,"An English bestiary image of the panther, a creature that draws animals to it with its sweet breath. The panther is allegorically interpreted as Christ.",Panther,England,,,The British Library Harley MS 3244 fol. 37; https://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=8798&CollID=8&NStart=3244,Harley MS 3244,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
smell005,5whaleharley.jpg,,Whale,,c. 1300,14th c. ,"An English bestiary image of the whale, a creature that draws fish to it with its sweet breath and then eats them. Sailors mistake it for an island and are drowned by it. The whale is allegorically interpreted as the Devil.",Whale,England,,,The British Library Harley MS 4751 fol. 69r; https://www.bl.uk/collection-items/bestiary-with-extracts-from-giraldus-cambrensis-on-irish-birds ,Harley MS 4751,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
smell006,6montfaucon-st-louisfig24.jpg,,St. Louis (Louis IX) Chapel Windows,,c.1300,14th c. ,"An engraving of the original (now lost) windows of the St. Louis Chapel at St-Denis Basilica in Paris. St. Louis picks up the bones of dead Crusaders while others cover their noses at the stench of the bodies. In Bernard de
Montfaucon, Les Monumens De La Monarchie Franȯise, fig. 24 (Paris, 1730). ",St. Louis,France,,,"Universitatsbibliothek Heidelberg, Bernard de Montfaucon, Les Monumens De La Monarchie Françoise, vol. 2 (Paris, 1730); https://digi.ub.uni-heidelberg.de/diglit/montfaucon1730bd2","Bernard de Montfaucon, Les Monumens De La Monarchie Françoise, vol. 2 (Paris, 1730)",Image;StillImage,image/jpeg,"fr, ger, eng",Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
smell007,7jeannedevreaux-st-louis-fol-159v.jpg,,"St. Louis (Louis IX), Hours of Jeanne d'Evreaux",Jean Pucelle,1324-1328,14th c. ,St. Louis collecting the bones of dead Crusaders while others are digusted by the stench. ,St. Louis,France,,,"The Cloisters, The Metropolitan Museum of Art; The Hours of Jeanne d'Evreaux, fol. 159v; https://www.metmuseum.org/art/collection/search/470309 ",accession number 54.1.2,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
smell008,8ilmorbetto.jpg,,"Marcantonio Raimondi after Raphael, Il Morbetto",Marcantonio Raimondi,c. 1512-15,16th c.  (pre-Reformation),A copy of a work of Raphael depicting the Plague of Phrygia from the Aeneid; the people on the lower right side of the image turn away from the stench of the dead to prevent infection. A man holding his nose turns the face of a child away from his dead mother.,Plague,Italy,,,The National Gallery of Art; https://www.nga.gov/collection/art-object-page.654.html ,accession number 1941.1.76,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
smell009,9vesalius-bk-4-pg318.jpg,,"Vesalius, Olfactory Organs 1",Andreas Vesalius,1543,16th c. (post-Reformation),Vesalius argues that the olfactory organs are in a different place than medieval scholarship had located them since the 12th c. This is a bottom view of the brain showing the elongated olfactory organs at the center top (marked F).,olfactory organs; Vesalius,Switzerland,,,"Universitatsbibliothek Basel; Vesalius, Andreas: Andreae Vesalii Bruxellensis, scholae medicorum Patavinae professoris, de Humani corporis fabrica Libri septem. Basileae: [ex officina Ioannis Oporini], [Anno salutis reparatae 1543]. Universitätsbibliothek Basel, AN I 15, https://doi.org/10.3931/e-rara-20094; bk. 4, ch. 1, fig. 9, pg. 318",https://doi.org/10.3931/e-rara-20094,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
smell010,10vesalius-bk-7-pg617.jpg ,,"Vesalius, Olfactory Organs 2",Andreas Vesalius,1543,16th c. (post-Reformation),A top view of a human brain with the front of the brain pulled back to reveal the olfactory organs. Vesalius locates the part of the brain that medieval scholars considered the olfactory organs at I. He locates the true olfactory organs at C and D. ,olfactory organs; Vesalius,Switzerland,,,"Universitatsbibliothek Basel; Vesalius, Andreas: Andreae Vesalii Bruxellensis, scholae medicorum Patavinae professoris, de Humani corporis fabrica Libri septem. Basileae: [ex officina Ioannis Oporini], [Anno salutis reparatae 1543]. Universitätsbibliothek Basel, AN I 15, https://doi.org/10.3931/e-rara-20094; bk. 7, fig. 12, pg. 617.",https://doi.org/10.3931/e-rara-20094,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/